Provinsi, Bagasse ,  PKS  ,  EFB  , Rubber , Rice straw , Rice husk , MSW , Wood waste , Total 
Aceh,0,0,"1,058,802,451","4,251,153,855","186,716,351","3,134,167,338","991,180,939",0,9622020934
Sumatera Utara,"177,430,521","253,666,000","4,538,061,690","15,323,181,119","259,610,040","4,357,739,980","1,417,479,357","1,537,516,209",27864684916
Sumatera Barat,0,"936,157,926","1,530,425,939","5,380,886,310","173,287,624","2,908,756,561","2,623,176,432",0,13552690792
Riau,0,"1,993,745,836","9,708,986,136","13,472,954,187","27,687,798","464,759,472","2,570,368,971","30,128,798,923",58367301323
Jambi,0,"215,420,462","2,664,542,435","16,409,633,413","35,230,192","591,363,938","1,168,119,573","8,375,925,469",29460235482
Sumatera Selatan,"2,420,765,688","598,311,170","4,044,340,639","35,750,656,253","336,052,238","5,640,876,884","2,143,721,615","8,451,765,621",59386490108
Bengkulu,0,"200,070,154","1,089,587,820","4,401,592,493","35,337,243","593,160,862","50,339,780",0,6370088352
Lampung,"12,503,510,574","90,521,725","492,983,923","6,949,832,263","324,119,543","5,440,578,075","1,588,476,390",0,27390022493
Kepulauan Bangka Belitung,0,0,"73,518,170","1,985,717,885","7,628,862","128,055,906","155,390,615",0,2350311438
Kepulauan Riau,0,"3,182,952","17,334,449","971,118,676","71,854","1,206,127","2,142,244,099",0,3135158157
Dki Jakarta,0,0,0,0,"333,818","5,603,379","14,208,408,997",0,14214346194
Jawa Barat,"2,064,111,983","5,836,854","31,787,674","1,496,451,681","1,171,656,436","16,384,343,335","3,371,735,521",0,24525923484
Jawa Tengah,"5,379,170,331",0,0,"1,293,836,404","1,166,606,536","19,582,324,088","11,333,436,743","2,841,552,086",41596926188
Daerah Istimewa Yogyakarta,"417,873,354",0,0,"2,644,899","70,720,034","1,187,086,286","144,797,704",0,1823122277
Jawa Timur,"18,031,652,632",0,0,"891,972,083","1,179,721,905","19,802,474,926","3,938,888,022",0,43844709568
Banten,0,"11,552,408","62,914,748","797,356,840","216,392,688","447,294,348","6,347,986,082","528,011,288",8411508402
Bali,0,0,0,"15,027,834","84,254,594","1,414,273,545","1,342,238,774",0,2855794747
Nusa Tenggara Barat,"2,084,961,599",0,0,0,"177,434,351","2,978,362,340","1,948,959,386",0,7189717676
Nusa Tenggara Timur,0,0,0,0,"94,612,339","1,588,135,691",0,0,1682748030
Kalimantan Barat,0,"832,814,555","5,841,928,451","16,631,123,650","99,225,145","1,665,564,939","1,333,430,332","812,002,205",27216089277
Kalimantan Tengah,0,"1,464,995,392","7,978,407,102","12,486,527,157","43,096,174","723,400,063","396,270,606","1,395,501,938",24488198432
Kalimantan Selatan,0,"229,708,984","1,218,620,540","8,453,617,527","106,335,925","1,784,924,467","2,338,376,972","543,060,262",14674644677
Kalimantan Timur,0,"1,415,951,846","4,109,121,222","3,190,990,253","28,272,011","474,565,896","2,827,791,508","9,266,913,693",21313606429
Kalimantan Utara,0,"279,162,039","647,125,923","104,834,171","4,623,767","77,613,233","82,413,814","4,292,892,073",5488665020
Sulawesi Utara,0,0,0,0,"30,870,459","518,182,709","434,902,358",0,983955526
Sulawesi Tengah,0,"89,579,895","487,854,688","240,285,048","93,961,752","1,577,215,134","138,575,868",0,2627472385
Sulawesi Selatan,"318,926,772","22,851,556","124,450,234","349,807,903","650,467,181","10,918,556,301","2,795,711,635",0,15180771582
Sulawesi Tenggara,0,"12,243,996","66,681,154","30,736,930","60,267,051","1,011,625,511",0,0,1181554642
Gorontalo,"833,984,639","2,840,377","15,468,774",0,"30,411,322","510,475,764","96,465,035",0,1489645911
Sulawesi Barat,0,"76,258,487","415,305,917",0,"44,413,666","745,515,112","266,568,267",0,1548061449
Maluku,0,"4,207,459","22,913,944","108,080,183","11,282,352","189,382,340","94,661,422",0,430527700
Maluku Utara,0,0,0,0,"3,008,749","50,504,002",0,0,53512751
Papua Barat,0,"23,907,444","130,200,630",0,"2,926,786","49,128,199","32,104,368","892,683,322",1130950749
Papua,0,"146,507,525","797,884,202","349,727,755","23,274,601","390,680,804","552,991,688","691,756,182",2952822757
