Province,Low,Equalized,Mid,High
Aceh,7.7216,3.2607,3.5791,-5.3008
Sumatera Utara,22.9025,17.368,11.8421,-20.1546
Sumatera Barat,11.3388,8.2694,6.6303,-2.062
Riau,54.238,47.4979,45.3058,36.0403
Jambi,27.9082,25.4552,24.7141,21.4002
Sumatera Selatan,50.508,38.127,30.5623,-15.6444
Bengkulu,5.2345,3.4435,2.9036,0.4932
Lampung,25.491,21.6095,22.0799,19.7673
Kepulauan Bangka Belitung,2.143,1.307,1.7239,1.7098
Kepulauan Riau,3.1352,3.1352,3.1352,3.1352
Dki Jakarta,14.2143,14.2143,14.2143,14.2143
Jawa Barat,18.5243,6.6323,-0.3101,-72.5047
Jawa Tengah,25.1267,10.0571,-18.131,-214.0671
Daerah Istimewa Yogyakarta,1.8231,1.8231,1.8231,1.8231
Jawa Timur,37.7887,27.29,18.032,-65.4213
Banten,-4.9195,-34.4018,-53.1117,-263.6675
Bali,1.7158,-0.0824,-0.6244,-3.0443
Nusa Tenggara Barat,4.5166,0.8352,-1.2842,-7.2204
Nusa Tenggara Timur,0.4905,-1.2744,-2.4589,-5.2371
Kalimantan Barat,22.0371,14.7743,10.5037,-1.1555
Kalimantan Tengah,22.0073,17.9744,16.4087,11.5696
Kalimantan Selatan,12.3001,8.2716,6.2823,-7.6503
Kalimantan Timur,15.936,7.8195,4.6939,-6.8789
Kalimantan Utara,5.2357,5.1651,4.5265,3.8342
Sulawesi Utara,-0.9662,-4.0421,-4.9693,-9.1089
Sulawesi Tengah,-48.6027,-129.2135,-153.5885,-261.8655
Sulawesi Selatan,6.7936,-6.7257,-10.2405,-28.5861
Sulawesi Tenggara,-11.5338,-31.2104,-37.8151,-64.9096
Gorontalo,0.5358,-1.2991,-1.4163,-3.161
Sulawesi Barat,1.3252,0.975,0.8699,0.4017
Maluku,-5.3723,-14.5225,-17.2799,-29.5889
Maluku Utara,-24.2728,-62.3095,-74.2586,-125.7765
Papua Barat,1.1278,1.1269,1.119,1.1103
Papua,1.1585,-1.352,-2.7289,-6.7272
