Provinsi,Low,Equalized,Mid,High
Aceh,7.722,3.261,3.579,0
Bali,1.716,0,0,-3.044
Banten,-9.84,0,-37.075,-243.901
Bengkulu,5.235,3.444,2.904,0
Gorontalo,0.536,0,-1.416,-3.161
Jambi,27.908,25.455,24.714,7.084
Jawa Barat,23.444,0,1.414,-61.769
Jawa Tengah,25.127,0,0,-214.067
Jawa Timur,0,0,0,-65.421
Kalimantan Barat,22.037,14.774,10.504,-1.156
Kalimantan Selatan,12.3,8.272,0,-7.65
Kalimantan Tengah,22.007,17.974,11.943,4.691
Kalimantan Timur,0,0,0,0
Kalimantan Utara,5.236,0,0,3.834
Kepulauan Bangka Belitung,2.143,1.307,0,1.71
Lampung,25.491,21.61,22.08,0
Maluku,0,-14.523,-17.28,-29.589
Maluku Utara,-7.66,-62.31,-74.259,-125.777
Nusa Tenggara Barat,4.517,0.835,0,-7.22
Nusa Tenggara Timur,0.491,0,0,-5.237
Papua Barat,1.128,0,0,0
Papua,1.158,-0.225,-1.61,-5.617
Riau,54.238,47.498,45.306,14.316
Sulawesi Barat,1.325,0.975,0.87,0.402
Sulawesi Selatan,0,-6.726,0.735,-28.586
Sulawesi Tengah,-21.603,-117.528,-149.062,-261.866
Sulawesi Tenggara,0,-5.276,-37.815,-64.91
Sumatera Barat,11.339,8.269,6.63,0
Sumatera Selatan,50.508,36.451,30.562,0
Sumatera Utara,22.903,17.368,11.842,0
Daerah Istimewa Yogyakarta,1.823,0,0,0
Dki Jakarta,14.214,0,0,0
Kepulauan Riau,3.135,3.135,3.135,1.807
Sulawesi Utara,-0.966,-4.042,-4.969,-9.109
