Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,
BAU,233.35,247.073,270.1,277.722656,324.952,345.885,369.236081,369.37553,369.37553,369.491737,369.491737,,
Low,233.35,247.073,270.1,277.722656,313.791,333.739,355.094,355.209441,355.209441,355.304,355.30484,,
Equalized,233.35,247.073,270.1,277.722656,292.08,310.543,328.334,328.441,328.441,328.53,328.53,,
Mid,233.35,247.073,270.1,277.722656,277.404,294.916,311.438,311.484,311.48475,311.523627,311.523627,,
High,233.35,247.073,270.1,277.722656,192.933,206.749,216.981,216.981,216.981,216.981,216.981,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
